SIGLA;DESCRICAO;NIVEL ENSINO;CH HORA RELOGIO;CH HORA AULA;CH QTD CREDITOS;ATIVO;SIGLA QACADEMICO;OBSERVACAO
TEC.0085;Desenvolvimento de Projetos Integradores/Técnicos I (Curso 436);Graduação;80;107;3;Sim;TEC.436.0033;-
TEC.0191;Desenvolvimento de projetos integradores/técnicos I (Curso 502);Graduação;30;40;3;Sim;TEC.502.0036;-
TEC.0848;Desenvolvimento de Projetos Integradores / Técnicos II;Graduação;60;80;3;Sim;TEC.505.0040;Curso 505
TEC.0087;Desenvolvimento de Projetos Integradores / Técnicos II (Curso 436);Graduação;80;107;3;Sim;TEC.436.0030;-
TEC.0192;Desenvolvimento de projetos integradores/técnicos II (Curso 502);Graduação;30;40;3;Sim;TEC.502.0037;-
TEC.0849;Desenvolvimento de Projetos Integradores / Técnicos III;Graduação;60;80;3;Sim;TEC.505.0041;Curso 505
TEC.0193;Desenvolvimento de projetos integradores/técnicos III (Curso 502);Graduação;30;40;3;Sim;TEC.502.0038;-
TEC.0850;Desenvolvimento de Projetos Integradores / Técnicos IV;Graduação;60;80;3;Sim;TEC.505.0042;Curso 505
TEC.0707;Desenvolvimento de Projetos Técnicos e/ou Projetos de Pesquisa e/ou Projetos de Extensão;Graduação;330;440;3;Sim;TEC.806.0032;-
LIC.0461;Desenvolvimento de Sistemas Coorporativos;Graduação;60;80;4;Sim;LIC.NEp.0025;-
LIC.0704;Desenvolvimento de Sistemas Coorporativos(60H);Graduação;60;80;4;Sim;SUP.226;-
TEC.0028;Desenvolvimento de Sistemas Coorporativos (Curso 404);Graduação;60;80;4;Sim;TEC.404.0016;Curso 404
TEC.0695;Desenvolvimento de Sistemas Corporativos;Graduação;60;80;4;Sim;TEC.806.0020;-
LIC.1028;Desenvolvimento de Sistemas Corporativos;Graduação;60;80;4;Sim;-;.
TEC.0023;Desenvolvimento de Sistemas Distribuídos (Curso 404);Graduação;90;120;6;Sim;TEC.404.0011;Curso 404
LIC.1017;Desenvolvimento de Sistemas Web;Graduação;60;80;4;Sim;-;.
TEC.0019;Desenvolvimento de Sistemas Web (Curso 404);Graduação;90;120;6;Sim;TEC.404.0007;Curso 404
TEC.0883;Desenvolvimento Integrado;Graduação;45;60;3;Sim;INF.S032;Curso 404X
LIC.1029;Desenvolvimento para Dispositivos Móveis;Graduação;60;80;4;Sim;-;-
TEC.1035;Desenvolvimento para Dispositivos Móveis;Graduação;60;80;4;Sim;-;.
TEC.0076;Desenvolvimento para Dispositivos Móveis (NCT);Graduação;60;80;4;Sim;TEC.NCT.UT.0020;Curso 404
LIC.0791;Desenvolvimento sustentável;Graduação;30;40;2;Sim;-;Curso 710
TEC.1029;Desenvolvimento Web Back-end;Graduação;60;80;4;Sim;-;-
TEC.1024;Desenvolvimento Web Front-end;Graduação;60;80;4;Sim;-;-
TEC.1025;Desenvolvimento Web para a Nuvem;Graduação;60;80;4;Sim;-;-
LIC.0884;Dialetologia da Língua Espanhola I;Graduação;30;40;2;Sim;-;-
LIC.0955;Dialetologia da Língua Espanhola II;Graduação;30;40;2;Sim;-;-
LIC.0334;Dialetologia do Espanhol;Graduação;60;80;4;Sim;LIC.603.0022;Curso 603
LIC.0542;Dialetologia do Espanhol;Graduação;80;106;5;Sim;FOR.L080;Curso 603X
LIC.0044;Didática;Graduação;90;120;6;Sim;LIC.NDp.0002;NDP
LIC.0543;Didática;Graduação;120;160;8;Sim;FOR.L071;Curso 603X
LIC.0592;Didática;Graduação;90;120;6;Sim;FOR.L027;-
LIC.0842;Didática;Graduação;60;80;4;Sim;-;-
LIC.0693;Didática(90H);Graduação;90;120;6;Sim;SUP.122;-
LIC.0804;Didática(90H);Graduação;90;120;6;Sim;DIA/CN.020;-
LIC.0229;Didática do Ensino das Ciências I(30H);Graduação;30;40;2;Sim;SLIC.NC.0007;Curso 09119
LIC.0236;Didática do Ensino das Ciências II(90H);Graduação;90;120;6;Sim;SLIC.NC.0002;Curso 09119
LIC.0239;Didática do Ensino das Ciências III(90H);Graduação;90;120;6;Sim;SLIC.NC.0003;Curso 09119
